Ship Agency Financial Model - Staffing Detail

CORPORATE STAFF
Position,Type,Base Rate,Annual Hours,OT Hours,Bonus %,Count,Total Compensation
CEO/President,Salary,"$350,000",2080,0,10,1,"$385,000.00"
CFO,Salary,"$275,000",2080,0,10,1,"$302,500.00"
Controller,Salary,"$165,000",2080,0,10,1,"$181,500.00"
VP Ops,Salary,"$225,000",2080,0,10,1,"$247,500.00"
VP Commercial,Salary,"$225,000",2080,0,10,1,"$247,500.00"
Commercial Manager,Salary,"$150,000",2080,0,10,1,"$165,000.00"
Executive Admin,Salary,"$90,000",2080,0,10,1,"$99,000.00"
HR Manager,Salary,"$200,000",2080,0,10,1,"$220,000.00"
HR Clerk/Payroll,Hourly,$41.00,2080,0,10,1,"$93,808.00"
IT Manager,Salary,"$175,000",2080,0,10,1,"$192,500.00"
Desktop Support,Salary,"$95,000",2080,0,10,1,"$104,500.00"
Accounting Manager,Salary,"$125,000",2080,0,10,1,"$137,500.00"
Accounting Supervisor,Salary,"$80,000",2080,0,10,1,"$88,000.00"
Accounting Clerk,Hourly,$31.00,2080,0,10,2,"$141,856.00"
Documentation Manager,Salary,"$95,000",2080,0,10,1,"$104,500.00"
Document Clerk,Hourly,$31.00,2080,0,10,2,"$141,856.00"

PORT OPERATIONS STAFF
Position,Type,Base Rate,Annual Hours,OT Hours,Bonus %,Count,Total Compensation
Port Ops Manager,Salary,"$142,500",2080,0,10,1,"$156,750.00"
Asst Ops Manager,Salary,"$107,500",2080,0,10,1,"$118,250.00"
Ship Agent,Salary,"$107,500",2080,0,10,3,"$354,750.00"
Boarding Agent/Runner,Hourly,$38.00,2080,0,10,2,"$173,888.00"
Ops Admin Clerk,Hourly,$31.00,2080,0,10,2,"$141,856.00"

PAYROLL SUMMARY
Category,Amount
Corporate Payroll,"$2,852,520.00"
Port Operations Payroll,"$945,494.00"
Total Payroll,"$3,798,014.00"
